Algorithm,Matrix_Size,Layer_2_matmul_time,Total_fastmm_time
dgemm,512,729191.1710000003,8044009.678000012
bini322,512,3222560.6410000003,37101160.78900017
schonhage333,512,3332613.336,38848759.449
smirnov224,512,1610751.583999999,17288288.67600002
smirnov225,512,2151513.0780000007,24851678.356999878
smirnov272,512,2664724.916000001,30296895.255000018
smirnov323,512,2563163.355000003,29611007.947000038
smirnov333,512,3314312.6259999988,37678031.354000084
smirnov334,512,2965668.645000001,33540716.46100006
smirnov442,512,1401836.3640000003,16087366.057999995
smirnov444,512,2400697.0349999997,27694071.121999975
smirnov552,512,2709326.7069999976,31443479.109999873
smirnov555,512,3619883.118,41221398.09699986
dgemm,1024,2777159.2509999983,27367257.229000013
bini322,1024,5771115.035000007,62732320.91600024
schonhage333,1024,5656896.483,60837456.042000026
smirnov224,1024,4047242.2709999997,46792260.984999925
smirnov225,1024,4676427.012,55837981.68300002
smirnov272,1024,5961876.884,65121615.63099993
smirnov323,1024,4795683.401999998,52948622.18499997
smirnov333,1024,5296696.04,58254341.62500015
smirnov334,1024,3923354.2719999994,50491865.69100004
smirnov442,1024,3798324.619999999,44026175.02599996
smirnov444,1024,4623841.656999998,53791379.49800016
smirnov552,1024,7434986.591000003,94904955.39399986
smirnov555,1024,8826666.869999997,106116609.06900012
dgemm,2048,13331339.860000007,104702075.2079999
bini322,2048,26292622.73300001,272863671.07900035
schonhage333,2048,23392643.807000015,272602230.534
smirnov224,2048,14594190.709000003,168598353.97400007
smirnov225,2048,14666170.500000006,177763101.47099975
smirnov272,2048,17352642.109,193616554.5710003
smirnov323,2048,22907239.728000004,248680504.7660003
smirnov333,2048,25776439.847999997,261952840.51299995
smirnov334,2048,20568153.376000002,250826468.07300007
smirnov442,2048,14145425.449000007,166288522.1710001
smirnov444,2048,14317784.999999993,168335427.28799996
smirnov552,2048,20283053.601,269199912.216
smirnov555,2048,22947740.497000005,263401564.4109998
dgemm,4096,40387659.67800001,403382741.949
bini322,4096,47591213.95099998,518200177.2079997
schonhage333,4096,44263742.56099998,514536845.9559999
smirnov224,4096,37276674.15599998,414589526.40199983
smirnov225,4096,42072915.20400001,501189039.6009995
smirnov272,4096,59796630.03799998,662391512.7749994
smirnov323,4096,36540576.99499999,430063801.69299966
smirnov333,4096,42859828.84099999,488770759.40000063
smirnov334,4096,36934337.83,414289076.99400014
smirnov442,4096,33396280.759000003,365206813.1870002
smirnov444,4096,37135108.873,421084385.0759996
smirnov552,4096,31891882.485000007,390405663.77599984
smirnov555,4096,33639726.222,403007847.55500054
dgemm,8192,118123135.05799998,1411426553.802999
bini322,8192,247697670.213,2212439123.669998
schonhage333,8192,192070763.13,2333099287.299
smirnov224,8192,112091453.90099998,1376641976.6050005
smirnov225,8192,132864637.82199997,1631209383.2920008
smirnov272,8192,174631748.528,2131322406.712999
smirnov323,8192,161446979.052,1953824676.8219988
smirnov333,8192,183893477.08499998,2247119505.4089985
smirnov334,8192,157945671.04400003,1909145884.5749993
smirnov442,8192,100131255.67499998,1206787296.365001
smirnov444,8192,119504449.699,1434049019.636
smirnov552,8192,152279523.369,1849336187.6769996
smirnov555,8192,151364771.112,1800072376.020997
