Algorithm,Matrix_Size,Layer_2_matmul_time,Total_fastmm_time
bini322,512,6567595.885,76923617.25499995
schonhage333,512,6760019.721000007,80939220.46300013
smirnov224,512,6108837.133000003,71998949.4369996
smirnov225,512,6599783.788999992,78096230.92200018
smirnov272,512,7564466.799000004,89544720.99300016
smirnov323,512,6740041.267999996,79193847.00000013
smirnov333,512,7055708.733999996,83003573.61000006
smirnov334,512,6846908.123000007,80934734.9750002
smirnov442,512,6094138.930999994,71584954.05899999
smirnov444,512,6480590.757999995,76383943.29999983
smirnov552,512,7755128.862000003,91134494.68499969
smirnov555,512,9099786.733,107050499.50199954
bini322,1024,21780846.348999992,261466263.56300008
schonhage333,1024,21861792.958000008,262218533.4900006
smirnov224,1024,20509256.508999985,245908727.41899997
smirnov225,1024,21120768.017999995,252830002.65200013
smirnov272,1024,23116947.330999985,276670422.76200026
smirnov323,1024,21555858.621000007,258522118.6989996
smirnov333,1024,21961646.413000014,263164969.45200047
smirnov334,1024,21813204.11099999,261549251.7870003
smirnov442,1024,19488885.88800001,233316948.31799984
smirnov444,1024,20103417.69199999,241841092.4449998
smirnov552,1024,23809995.467000004,286158336.1199999
smirnov555,1024,25637896.851000004,307806628.67199945
bini322,2048,84277834.81499997,984444497.1229999
schonhage333,2048,83267723.35300002,978980045.7860004
smirnov224,2048,76683856.692,919863856.9119982
smirnov225,2048,78263030.86900006,940713686.3899999
smirnov272,2048,79875651.13500004,958447723.9050001
smirnov323,2048,81820563.14700003,958426467.0369996
smirnov333,2048,81993680.00599998,968073188.0030004
smirnov334,2048,82556028.84499994,969716831.0780003
smirnov442,2048,71439515.75500004,857852029.2249995
smirnov444,2048,71387825.50700001,857923283.6209989
smirnov552,2048,84314200.02700005,990890387.6969993
smirnov555,2048,87944794.61200002,1025548216.3190001
bini322,4096,293663322.78700006,3521847986.151001
schonhage333,4096,281935067.68999994,3392228510.666999
smirnov224,4096,286370284.83199996,3437325258.7
smirnov225,4096,283034170.625,3406869900.426002
smirnov272,4096,319671488.95899993,3846937618.767997
smirnov323,4096,278044688.682,3340948108.5099998
smirnov333,4096,272470900.41700006,3267530710.8250003
smirnov334,4096,276650693.05600005,3318242559.344999
smirnov442,4096,263661803.4120001,3172131187.1449995
smirnov444,4096,257087115.12699994,3086363071.164004
smirnov552,4096,277272047.55100006,3333779463.8050003
smirnov555,4096,279888004.975,3352493037.345994
bini322,8192,1164542019.7930002,14048092552.804024
schonhage333,8192,1121276407.8330002,13533257773.012
smirnov224,8192,1117417001.2770004,13482732023.306005
smirnov225,8192,1109543528.237,13407876683.511
smirnov272,8192,1212950453.5030003,14446711755.36299
smirnov323,8192,1108474653.94,13304381698.560995
smirnov333,8192,1082391242.412,13074203807.574003
smirnov334,8192,1085234106.2470002,13097211655.738995
smirnov442,8192,1049835433.1669998,12688473493.261003
smirnov444,8192,1023837220.211,12345175389.649996
smirnov552,8192,1119625419.9639997,13485824694.382006
smirnov555,8192,1080629460.6459997,12976866128.034008
