Algorithm,Matrix_Size,Layer_2_matmul_time,Total_fastmm_time,Total_time
dgemm,512,4127402.678999999,62979546.02500028,48.31298470497131
bini322,512,28838915.45599998,383786572.0960009,196.92669939994812
schonhage333,512,29138647.68599998,482035273.42899907,239.6862132549286
smirnov224,512,32338456.561999988,411991258.4049983,203.17712593078613
smirnov225,512,27344465.683999978,414582550.997,209.89183521270752
smirnov272,512,32411771.79399997,459145004.48699987,228.12068629264832
smirnov323,512,30441138.116999976,415961092.91499877,213.3170256614685
smirnov333,512,37535374.97500001,476826795.1609991,242.10198140144348
smirnov334,512,19959572.557999976,350005156.37899995,180.87720155715942
smirnov442,512,17758073.097000007,267757894.33599982,140.53295135498047
smirnov444,512,26924056.848999985,448825721.50500125,222.70120239257812
smirnov552,512,31420530.453999992,455414062.072001,229.54405999183655
smirnov555,512,35649754.80899999,500789231.5500003,250.06169056892395
dgemm,1024,9863531.327000016,125086473.16599992,83.93077111244202
bini322,1024,25631783.678999994,383022835.0229994,196.4872064590454
schonhage333,1024,29363462.229,418445552.9809998,217.89980459213257
smirnov224,1024,25105611.34500002,414992784.9380001,205.11081647872925
smirnov225,1024,26518434.66300002,457529898.99600047,226.93988585472107
smirnov272,1024,30292695.361,423885573.6009996,217.04295873641968
smirnov323,1024,28454511.436000008,402672465.35399985,209.46922659873962
smirnov333,1024,29115703.269000005,425384730.1969992,216.09485244750977
smirnov334,1024,18513903.679999996,287307105.36799914,161.9314649105072
smirnov442,1024,15916134.865999993,262881384.97399995,151.45610356330872
smirnov444,1024,19485125.291000005,348802115.04600036,184.38556933403015
smirnov552,1024,32520719.093000002,521534202.4689997,271.46637439727783
smirnov555,1024,30884521.437000014,531207480.2850006,269.76970863342285
dgemm,2048,14978041.515000008,296552159.82400054,165.32524228096008
bini322,2048,38821766.92999999,694476985.9019994,358.62334513664246
schonhage333,2048,45944459.22099999,795456425.089999,409.87811636924744
smirnov224,2048,34836192.630999975,636310636.5420012,329.2160429954529
smirnov225,2048,36906312.09500001,686002275.6679991,354.7687406539917
smirnov272,2048,36654971.55499998,675648921.732999,348.72594833374023
smirnov323,2048,42871297.982,740893200.7759999,386.6030659675598
smirnov333,2048,43651017.890000015,773664729.7519993,398.88982224464417
smirnov334,2048,35394789.54700001,699555890.627,363.6067941188812
smirnov442,2048,17723199.76800001,413717381.22700036,228.61781239509583
smirnov444,2048,26859671.545,567641226.5630004,295.4949052333832
smirnov552,2048,44816131.84400001,843286844.6639996,430.9208097457886
smirnov555,2048,44082427.552000016,832989740.0239989,426.1293601989746
dgemm,4096,40837154.55300001,638798244.6610001,349.3360815048218
bini322,4096,44548611.61500001,957419529.5610005,488.61515760421753
schonhage333,4096,48594092.03100001,1059515843.9189985,537.3312220573425
smirnov224,4096,46803349.17299999,1009930136.9540008,513.4094724655151
smirnov225,4096,48407426.658,1076533748.5540004,543.2262017726898
smirnov272,4096,54390107.180000015,1159052584.1619985,583.2020506858826
smirnov323,4096,47052180.51499999,1021482926.9919996,518.2108194828033
smirnov333,4096,47283157.89800001,1037878890.3229996,527.050586938858
smirnov334,4096,44477611.43800001,899600801.1609991,473.6751706600189
smirnov442,4096,34347885.061000004,748986529.8619998,395.6650528907776
smirnov444,4096,66753760.702000014,1180507311.5339994,615.4812688827515
smirnov552,4096,60641256.566,1094702642.17,568.2286639213562
smirnov555,4096,51869504.120999984,985184416.9900005,510.53794622421265
dgemm,8192,121543073.052,2203317423.054001,1130.7804591655731
bini322,8192,180443668.46899998,2956762061.0360007,1523.2122671604156
schonhage333,8192,176150590.36600003,3044939848.404001,1551.7191905975342
smirnov224,8192,137456421.70499998,2610775216.9350004,1313.1907773017883
smirnov225,8192,142672903.374,2703797702.6829987,1360.1259846687317
smirnov272,8192,151635537.76799998,2898887491.2400045,1449.7096946239471
smirnov323,8192,177667923.61400005,2985653388.207999,1531.4962894916534
smirnov333,8192,171516524.68999997,2986102817.7910023,1516.9219055175781
smirnov334,8192,203698476.185,3617695230.277,1816.891497850418
smirnov442,8192,114952257.686,2252949655.140001,1138.4908678531647
smirnov444,8192,189522667.41399997,3199514173.6650004,1625.631961107254
smirnov552,8192,252020239.09400004,4242950765.299,2124.7823259830475
smirnov555,8192,226031590.151,3886637797.4110036,1945.515637397766
