Algorithm,Matrix_Size,Layer_2_matmul_time,Total_fastmm_time,Total_time
dgemm,512,5204562.0,56020914.0,102602406.6
bini322,512,6254049.0,65692988.0,111722768.7
schonhage333,512,6552512.0,68468198.0,114879526.8
smirnov224,512,5707803.0,61161703.0,106553489.5
smirnov225,512,6086669.0,65499683.0,110828566.8
smirnov272,512,7415098.0,76819010.0,123304992.0
smirnov323,512,6377260.0,67202115.0,112190509.2
smirnov333,512,6738471.0,70672302.0,117007122.5
smirnov334,512,6625309.0,69397971.0,115663285.0
smirnov442,512,5885606.0,61326542.0,107402000.0
smirnov444,512,6232601.0,64990174.0,110152837.3
smirnov552,512,7555278.0,78478468.0,124371581.6
smirnov555,512,8441704.0,91201722.0,137145446.6
dgemm,1024,20147256.0,217775785.0,319788230.5
bini322,1024,20842986.0,224160507.0,325341809.9
schonhage333,1024,34781265.0,224410526.0,327606607.3
smirnov224,1024,19767072.0,210876247.0,313803939.0
smirnov225,1024,19880276.0,216064609.0,319622202.7
smirnov272,1024,22809003.0,240664819.0,343806884.3
smirnov323,1024,20601970.0,221686370.0,322687583.7
smirnov333,1024,20984545.0,225315899.0,326072212.7
smirnov334,1024,20791539.0,223482383.0,323887511.6
smirnov442,1024,18748028.0,200962503.0,302654372.0
smirnov444,1024,19090454.0,205852847.0,306785166.9
smirnov552,1024,22947290.0,247361518.0,350370422.1
smirnov555,1024,25453012.0,266085409.0,368539347.6
dgemm,2048,79417385.0,883736947.0,1104671184.0
bini322,2048,80304038.0,853747520.0,1068520050.0
schonhage333,2048,80811871.0,846183046.0,1060379757.0
smirnov224,2048,72053050.0,784222532.0,1004126161.0
smirnov225,2048,73657264.0,802919095.0,1015068388.0
smirnov272,2048,77366556.0,832063038.0,1042685511.0
smirnov323,2048,79306835.0,838968474.0,1056635358.0
smirnov333,2048,78806062.5,838300233.7,
smirnov334,2048,76760756.47,832228748.1,
smirnov442,2048,68065455.81,734705494.0,
smirnov444,2048,67921619.85,733117652.6,
smirnov552,2048,82180545.84,862401851.8,
smirnov555,2048,84565908.23,889499545.6,
dgemm,4096,307914489.0,3341700942.0,3894756343.0
bini322,4096,275708738.0,2975066618.0,3529141896.0
schonhage333,4096,269802166.0,2905083734.0,3470828834.0
smirnov224,4096,277366006.0,3010584886.0,3567043704.0
smirnov225,4096,267059634.0,2882618104.0,3435778431.0
smirnov272,4096,313783714.0,3366404823.0,3937315582.0
smirnov323,4096,263701631.0,2853180351.0,3416982456.0
smirnov333,4096,261718649.6,2795471929.0,
smirnov334,4096,262071888.1,2839735252.0,
smirnov442,4096,249739562.0,2702525450.0,
smirnov444,4096,245663772.8,2638401407.0,
smirnov552,4096,265342625.5,2843872289.0,
smirnov555,4096,266322043.6,2869207596.0,
dgemm,8192,1225724851.0,13351140974.0,14607375245.0
bini322,8192,1103955691.0,12033484529.0,13267347882.0
schonhage333,8192,1061473749.0,11527636898.0,12737720329.0
smirnov224,8192,1058924955.0,11502626638.0,12724144511.0
smirnov225,8192,1051375948.0,11398341520.0,12636742262.0
smirnov272,8192,1084024336.0,11846696484.0,13090272358.0
smirnov323,8192,1047990847.0,11333721021.0,12551186070.0
smirnov333,8192,1023489775.0,11115702798.0,
smirnov334,8192,1030084611.0,11213186128.0,
smirnov442,8192,997300045.8,10813260638.0,
smirnov444,8192,966008431.3,10500098408.0,
smirnov552,8192,1057151452.0,11435623498.0,
smirnov555,8192,1019922978.0,11002612840.0,
