n   	classic	gemm 	322 	333-21 	422 	522 	722 	332 	333-20 	433 	442 	444 	552 	555
512	1.311e1	8.694e1	6.115e1	7.088e1	1.066e2	8.84e1	7.153e1	7.401e1	7.166e1	6.241e1	1.211e2	8.648e1	5.605e1	5.868e1	
1024	9.111e1	1.451e2	1.269e2	1.264e2	1.42e2	1.28e2	1.224e2	1.338e2	1.306e2	1.255e2	1.498e2	1.334e2	7.747e1	7.85e1	
1536	9.485e1	1.599e2	1.374e2	1.711e2	1.653e2	1.551e2	1.5e2	1.731e2	1.694e2	1.682e2	1.756e2	1.627e2	1.53e2	1.523e2	
2048	1.094e2	1.629e2	1.092e2	1.238e2	1.621e2	1.409e2	1.321e2	1.268e2	1.183e2	1.247e2	1.876e2	1.778e2	1.187e2	1.182e2	
2560	1.039e2	1.687e2	1.586e2	1.54e2	1.749e2	1.588e2	1.43e2	1.676e2	1.628e2	1.656e2	1.995e2	1.902e2	1.952e2	1.926e2	
3072	8.259e1	1.67e2	1.653e2	1.791e2	1.81e2	1.663e2	1.855e2	1.828e2	1.828e2	1.841e2	1.998e2	1.814e2	1.407e2	1.28e2	
3584	1.010e2	1.677e2	1.401e2	1.438e2	1.656e2	1.499e2	1.603e2	1.461e2	1.387e2	1.396e2	1.796e2	1.663e2	1.372e2	1.355e2	
4096	9.648e1	1.697e2	1.694e2	1.736e2	1.798e2	1.561e2	1.567e2	1.821e2	1.83e2	1.68e2	1.837e2	1.798e2	1.744e2	1.788e2	
4608	9.268e1	1.721e2	1.773e2	1.862e2	1.725e2	1.657e2	1.502e2	1.703e2	1.809e2	1.836e2	1.923e2	1.993e2	1.473e2	1.478e2	
5120	1.068e2	1.713e2	1.305e2	1.425e2	1.888e2	1.701e2	1.73e2	1.397e2	1.349e2	1.327e2	2.013e2	1.91e2	1.969e2	1.876e2	
5632	1.032e2	1.722e2	1.713e2	1.833e2	1.835e2	1.725e2	1.763e2	1.808e2	1.832e2	1.918e2	2.02e2	2.034e2	1.645e2	1.569e2	
6144	6.990e1	1.749e2	1.785e2	1.904e2	1.801e2	1.788e2	1.752e2	1.929e2	2.029e2	2.018e2	2.043e2	2.039e2	1.472e2	1.416e2	
6656	1.072e2	1.742e2	1.523e2	1.6e2	1.915e2	1.863e2	1.814e2	1.586e2	1.61e2	1.647e2	2.059e2	2.065e2	1.967e2	1.933e2	
7168	1.034e2	1.73e2	1.799e2	1.898e2	1.914e2	1.806e2	1.899e2	2.003e2	1.997e2	1.975e2	2.094e2	2.114e2	1.551e2	1.489e2	
7680	9.036e1	1.775e2	1.866e2	2.027e2	1.897e2	1.924e2	1.895e2	2.046e2	2.048e2	2.106e2	2.085e2	2.074e2	2.123e2	2.073e2	
8192	9.582e1	1.717e2	1.516e2	1.581e2	1.944e2	1.935e2	1.903e2	1.583e2	1.641e2	1.642e2	2.084e2	2.139e2	1.685e2	1.596e2	
