n   	classic	gemm 	322 	333-21 	422 	522 	722 	332 	333-20 	433 	442 	444 	552 	555
512	6.936e0	2.606e1	2.376e1	2.397e1	2.532e1	2.486e1	2.065e1	2.334e1	2.314e1	2.200e1	2.606e1	2.397e1	2.049e1	1.743e1	
1024	1.074e1	2.914e1	2.638e1	2.547e1	2.760e1	2.632e1	2.389e1	2.613e1	2.619e1	2.638e1	2.848e1	2.789e1	2.347e1	2.246e1	
1536	1.200e1	2.899e1	3.084e1	3.058e1	2.946e1	2.958e1	2.756e1	3.111e1	3.084e1	3.138e1	3.124e1	3.193e1	2.788e1	2.715e1	
2048	1.106e1	2.892e1	2.957e1	2.873e1	3.079e1	3.003e1	2.830e1	3.051e1	2.998e1	2.957e1	3.362e1	3.342e1	2.775e1	2.947e1	
2560	1.179e1	2.999e1	3.145e1	2.959e1	3.214e1	3.171e1	2.972e1	3.286e1	3.242e1	3.169e1	3.329e1	3.383e1	3.352e1	3.309e1	
3072	1.097e1	2.936e1	3.198e1	3.330e1	3.342e1	3.211e1	3.061e1	3.381e1	3.435e1	3.379e1	3.557e1	3.487e1	3.126e1	3.158e1	
3584	1.305e1	2.973e1	3.139e1	3.223e1	3.319e1	3.287e1	3.253e1	3.282e1	3.311e1	3.290e1	3.539e1	3.465e1	3.359e1	3.153e1	
4096	7.704e0	2.950e1	3.228e1	3.286e1	3.324e1	3.305e1	3.179e1	3.385e1	3.408e1	3.391e1	3.571e1	3.580e1	3.389e1	3.256e1	
4608	1.189e1	2.990e1	3.355e1	3.475e1	3.388e1	3.373e1	3.238e1	3.521e1	3.594e1	3.575e1	3.547e1	3.609e1	3.369e1	3.291e1	
5120	1.110e1	2.951e1	3.192e1	3.283e1	3.402e1	3.422e1	3.290e1	3.345e1	3.404e1	3.379e1	3.619e1	3.685e1	3.599e1	3.552e1	
5632	1.202e1	2.977e1	3.305e1	3.409e1	3.442e1	3.426e1	3.324e1	3.482e1	3.541e1	3.506e1	3.600e1	3.682e1	3.422e1	3.393e1	
6144	1.112e1	2.954e1	3.347e1	3.525e1	3.413e1	3.403e1	3.301e1	3.557e1	3.627e1	3.610e1	3.655e1	3.738e1	3.413e1	3.381e1	
6656	1.200e1	2.989e1	3.297e1	3.413e1	3.469e1	3.500e1	3.376e1	3.469e1	3.540e1	3.508e1	3.665e1	3.740e1	3.557e1	3.538e1	
7168	1.106e1	2.968e1	3.351e1	3.471e1	3.474e1	3.493e1	3.436e1	3.533e1	3.611e1	3.584e1	3.715e1	3.801e1	3.455e1	3.442e1	
7680	1.173e1	2.995e1	3.425e1	3.620e1	3.512e1	3.538e1	3.383e1	3.637e1	3.702e1	3.704e1	3.710e1	3.800e1	3.734e1	3.692e1	
8192	6.955e0	2.956e1	3.312e1	3.464e1	3.449e1	3.465e1	3.381e1	3.495e1	3.583e1	3.556e1	3.688e1	3.777e1	3.534e1	3.520e1	
