n   	dgemm 	322 	333-21 	422 	522 	722 	332 	333-20 	433 	442 	444 	552 	555
#epsexp	-	    11  	5	    5       5       3       5       3       5       5       5       5       5
512 	1.9e-7	4.6e-4	7.6e-4	4.8e-3	1.8e-2	4.3e-3	1.6e-2	2.4e-2	1.4e-2	1.1e-2	1.6e-2	1.1e-2	4e-3
1024	1.4e-7	3.8e-4	5.6e-4	4.3e-3	1.7e-2	5.1e-3	1.6e-2	1.9e-2	1.4e-2	1.1e-2	1.6e-2	1.1e-2	4.6e-3
1536	1.2e-7	3.3e-4	5.8e-4	4.1e-3	1.6e-2	5.6e-3	1.6e-2	2.2e-2	1.4e-2	1.1e-2	1.6e-2	1.1e-2	4e-3
2048	1.1e-7	3.1e-4	4.9e-4	4e-3	1.6e-2	4.3e-3	1.6e-2	1.9e-2	1.4e-2	1.1e-2	1.6e-2	1.1e-2	4.1e-3
2560	1.1e-7	3e-4	4.5e-4	4e-3	1.6e-2	4.5e-3	1.6e-2	1.8e-2	1.4e-2	1.1e-2	1.6e-2	1.1e-2	4.2e-3
3072	1.1e-7	2.8e-4	4.4e-4	3.9e-3	1.6e-2	4.6e-3	1.6e-2	1.8e-2	1.4e-2	1.1e-2	1.6e-2	1.1e-2	4e-3
3584	1.1e-7	2.8e-4	4.1e-4	3.9e-3	1.6e-2	4.9e-3	1.6e-2	1.7e-2	1.4e-2	1.1e-2	1.6e-2	1.1e-2	3.9e-3
4096	1.1e-7	2.7e-4	3.9e-4	3.9e-3	1.6e-2	4.6e-3	1.6e-2	1.6e-2	1.4e-2	1.1e-2	1.6e-2	1.1e-2	3.9e-3
4608	1.2e-7	2.7e-4	3.7e-4	3.9e-3	1.6e-2	4.4e-3	1.6e-2	1.6e-2	1.4e-2	1.1e-2	1.6e-2	1.1e-2	3.8e-3
5120	1.3e-7	2.7e-4	3.5e-4	3.9e-3	1.6e-2	4.4e-3	1.6e-2	1.6e-2	1.4e-2	1.1e-2	1.6e-2	1.1e-2	3.8e-3
5632	1.3e-7	2.7e-4	3.4e-4	3.9e-3	1.6e-2	4.3e-3	1.6e-2	1.6e-2	1.4e-2	1.1e-2	1.6e-2	1.1e-2	3.8e-3
6144	1.3e-7	2.6e-4	3.5e-4	3.9e-3	1.6e-2	4.2e-3	1.6e-2	1.5e-2	1.4e-2	1.1e-2	1.6e-2	1.1e-2	3.8e-3
6656	1.3e-7	2.6e-4	3.5e-4	3.8e-3	1.6e-2	4.2e-3	1.6e-2	1.5e-2	1.4e-2	1.1e-2	1.6e-2	1.1e-2	3.7e-3
7168	1.3e-7	2.6e-4	3.5e-4	3.8e-3	1.6e-2	4.2e-3	1.6e-2	1.5e-2	1.4e-2	1.1e-2	1.6e-2	1.1e-2	3.7e-3
7680	1.3e-7	2.6e-4	3.4e-4	3.8e-3	1.6e-2	4.1e-3	1.6e-2	1.5e-2	1.4e-2	1.1e-2	1.6e-2	1.1e-2	3.7e-3
8192	1.3e-7	2.6e-4	3.3e-4	3.8e-3	1.6e-2	4.1e-3	1.6e-2	1.5e-2	1.4e-2	1.1e-2	1.6e-2	1.1e-2	3.7e-3
