n   	classic	gemm 	322 	333-21 	422 	522 	722 	332 	333-20 	433 	442 	444 	552 	555
512 	1.342e1	1.272e2	4.589e1	4.344e1	9.519e1	7.177e1	5.295e1	5.874e1	4.489e1	4.916e1	1.028e2	6.199e1	5.489e1	4.092e1	
1024	1.441e2	1.534e2	1.018e2	1.142e2	1.271e2	1.068e2	9.378e1	1.256e2	1.079e2	1.180e2	1.368e2	1.180e2	6.817e1	6.649e1	
1536	1.611e2	1.565e2	1.315e2	1.482e2	1.545e2	1.519e2	1.256e2	1.640e2	1.559e2	1.526e2	1.713e2	1.618e2	1.494e2	1.473e2	
2048	2.080e2	2.576e2	1.153e2	1.145e2	1.591e2	1.534e2	1.311e2	1.236e2	1.169e2	1.161e2	1.924e2	1.857e2	1.130e2	1.094e2	
2560	2.071e2	2.868e2	1.568e2	1.605e2	1.785e2	1.661e2	1.525e2	1.730e2	1.695e2	1.739e2	1.974e2	1.940e2	1.985e2	1.951e2	
3072	1.841e2	3.117e2	1.726e2	1.624e2	2.319e2	1.986e2	1.726e2	1.933e2	1.801e2	2.020e2	2.006e2	1.907e2	1.374e2	1.384e2	
3584	1.812e2	3.253e2	1.529e2	1.282e2	2.166e2	1.914e2	2.131e2	1.693e2	1.395e2	1.737e2	2.536e2	2.302e2	1.997e2	1.683e2	
4096	1.995e2	3.095e2	2.206e2	2.147e2	2.322e2	2.322e2	2.137e2	2.283e2	1.906e2	2.513e2	3.102e2	2.508e2	2.851e2	2.603e2	
4608	1.691e2	3.146e2	2.346e2	2.097e2	2.688e2	2.506e2	2.062e2	2.585e2	2.252e2	2.947e2	3.339e2	2.637e2	2.082e2	2.062e2	
5120	1.915e2	3.250e2	1.724e2	1.570e2	3.093e2	2.586e2	2.136e2	1.949e2	1.641e2	1.957e2	3.192e2	2.802e2	3.154e2	3.013e2	
5632	2.127e2	3.007e2	2.612e2	2.147e2	3.049e2	2.462e2	1.895e2	2.831e2	2.355e2	2.921e2	3.541e2	2.842e2	2.246e2	2.196e2	
6144	1.682e2	3.175e2	2.822e2	2.353e2	3.092e2	2.651e2	2.238e2	3.052e2	2.401e2	3.117e2	3.753e2	2.938e2	2.029e2	1.943e2	
6656	2.052e2	3.127e2	2.134e2	1.924e2	3.233e2	2.838e2	2.280e2	2.253e2	1.991e2	2.329e2	3.338e2	2.985e2	3.094e2	3.286e2	
7168	2.118e2	3.108e2	2.913e2	2.324e2	3.211e2	2.788e2	2.283e2	3.160e2	2.578e2	3.112e2	3.728e2	3.083e2	2.080e2	2.070e2	
7680	1.820e2	3.282e2	3.027e2	2.536e2	3.198e2	2.914e2	2.372e2	3.359e2	2.639e2	3.397e2	3.813e2	3.199e2	3.762e2	3.414e2	
8192	1.946e2	3.217e2	2.142e2	1.862e2	3.305e2	2.868e2	2.459e2	2.267e2	1.901e2	2.298e2	3.885e2	3.149e2	2.384e2	2.328e2	
