n   	classic	gemm 	322 	333-21 	422 	522 	722 	332 	333-20 	433 	442 	444 	552 	555
512 	1.311e1	1.115e2	5.644e1	6.722e1	9.794e1	8.006e1	6.629e1	6.746e1	6.575e1	6.040e1	1.052e2	7.763e1	6.365e1	4.956e1	
1024	9.111e1	1.457e2	1.286e2	1.248e2	1.324e2	1.076e2	9.805e1	1.240e2	1.155e2	1.044e2	1.353e2	1.165e2	7.286e1	7.591e1	
1536	9.485e1	1.597e2	1.591e2	1.622e2	1.558e2	1.359e2	1.236e2	1.584e2	1.525e2	1.527e2	1.843e2	1.279e2	1.367e2	1.551e2	
2048	1.094e2	1.640e2	1.175e2	1.182e2	1.810e2	1.528e2	1.353e2	1.121e2	1.222e2	1.199e2	1.757e2	1.693e2	1.165e2	1.089e2	
2560	1.039e2	1.720e2	1.668e2	1.633e2	1.760e2	1.630e2	1.479e2	1.704e2	1.638e2	1.683e2	1.932e2	1.753e2	1.875e2	1.879e2
3072	8.259e1	1.672e2	1.651e2	1.803e2	1.806e2	1.491e2	1.572e2	1.630e2	1.632e2	1.784e2	1.961e2	1.859e2	1.192e2	1.255e2	
3584	1.010e2	1.673e2	1.333e2	1.421e2	1.625e2	1.651e2	1.376e2	1.433e2	1.405e2	1.501e2	1.810e2	1.824e2	1.381e2	1.367e2	
4096	9.648e1	1.712e2	1.487e2	1.810e2	1.868e2	1.657e2	1.583e2	1.809e2	1.610e2	1.874e2	1.919e2	1.909e2	1.803e2	1.715e2	
4608	9.268e1	1.718e2	1.761e2	1.907e2	1.856e2	1.735e2	1.718e2	1.938e2	1.827e2	1.944e2	2.001e2	1.930e2	1.491e2	1.438e2
5120	1.068e2	1.734e2	1.348e2	1.383e2	1.793e2	1.722e2	1.784e2	1.327e2	1.321e2	1.348e2	2.017e2	1.964e2	1.990e2	1.930e2	
5632	1.032e2	1.722e2	1.823e2	1.785e2	1.794e2	1.867e2	1.792e2	1.841e2	1.822e2	1.917e2	2.038e2	2.027e2	1.579e2	1.555e2	
6144	6.990e1	1.701e2	1.814e2	1.937e2	1.843e2	1.830e2	1.844e2	1.936e2	1.930e2	1.911e2	2.077e2	1.993e2	1.387e2	1.365e2	
6656	1.072e2	1.761e2	1.513e2	1.564e2	1.917e2	1.887e2	1.890e2	1.562e2	1.653e2	1.603e2	2.038e2	1.978e2	1.956e2	1.952e2	
7168	1.034e2	1.739e2	1.751e2	1.914e2	1.875e2	1.919e2	1.936e2	2.003e2	1.961e2	2.009e2	2.110e2	2.139e2	1.480e2	1.443e2	
7680	9.036e1	1.739e2	1.805e2	2.013e2	1.890e2	1.926e2	1.919e2	2.067e2	1.990e2	2.059e2	2.070e2	2.070e2	2.100e2	2.068e2	
8192	9.582e1	1.741e2	1.504e2	1.591e2	1.922e2	1.942e2	1.827e2	1.634e2	1.585e2	1.581e2	2.076e2	2.088e2	1.575e2	1.587e2	
